review_id,order_id,review_score,review_comment_title,review_comment_message,comment_length,comment_length_bucket,sentiment_label,sentiment_score,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_alignment,keywords,keyword_scores,top_keyword,review_creation_date,review_answer_timestamp,review_year,review_month,review_month_name,review_quarter,review_yearmonth
e64fb393e7b32834bb789ff8bb30750e,658677c97b385a9be170737859d3511b,5,,Recebi bem antes do prazo estipulado.,37,Medium (30-100),positive,0.4039,0.4039,0.3659,0.2302,0.038,Aligned,do prazo | bem antes | recebi,0.565 | 0.5052 | 0.3967,do prazo,2017-04-21 00:00:00,2017-04-21 22:02:06,2017,4,April,Q2,2017-04
f7c4243c7fe1938f181bec41a392bdeb,8e6bfb81e283fa7e4f11123a3fb894f1,5,,Parabéns lojas lannister adorei comprar pela Internet seguro e prático Parabéns a todos feliz Páscoa,100,Long (>100 chars),positive,0.8361,0.8361,0.0881,0.0758,0.748,Aligned,parabéns lojas | internet seguro | lannister adorei,0.6711 | 0.4308 | 0.3474,parabéns lojas,2018-03-01 00:00:00,2018-03-02 10:26:53,2018,3,March,Q1,2018-03
8670d52e15e00043ae7de4c01cc2fe06,b9bf720beb4ab3728760088589c62129,4,recomendo,aparelho eficiente. no site a marca do aparelho esta impresso como 3desinfector e ao chegar esta com outro nome...atualizar com a marca correta uma vez que é o mesmo aparelho,174,Long (>100 chars),positive,0.5618,0.5618,0.3216,0.1166,0.2402,Aligned,como 3desinfector | do aparelho | marca correta,0.5592 | 0.4797 | 0.423,como 3desinfector,2018-05-22 00:00:00,2018-05-23 16:45:47,2018,5,May,Q2,2018-05
4b49719c8a200003f700d3d986ea1a19,9d6f15f95d01e79bd1349cc208361f09,4,,"Mas um pouco ,travando...pelo valor ta Boa.",43,Medium (30-100),positive,0.7901,0.7901,0.1309,0.0791,0.6592,Aligned,um pouco | valor ta | mas,0.762 | 0.7267 | 0.6247,um pouco,2018-02-16 00:00:00,2018-02-20 10:52:22,2018,2,February,Q1,2018-02
3948b09f7c818e2d86c9a546758b2335,e51478e7e277a83743b6f9991dbfa3fb,5,Super recomendo,"Vendedor confiável, produto ok e entrega antes do prazo.",56,Medium (30-100),positive,0.9315,0.9315,0.0276,0.0409,0.9039,Aligned,vendedor confiável | produto ok | entrega antes,0.7765 | 0.5177 | 0.4727,vendedor confiável,2018-05-23 00:00:00,2018-05-24 03:00:01,2018,5,May,Q2,2018-05
9314d6f9799f5bfba510cc7bcd468c01,0dacf04c5ad59fd5a0cc1faa07c34e39,2,,"GOSTARIA DE SABER O QUE HOUVE, SEMPRE RECEBI E ESSA COMPRA AGORA ME DECPCIONOU",78,Medium (30-100),positive,0.5548,0.5548,0.2918,0.1534,0.263,Misaligned,de | me decpcionou | houve sempre,0.5748 | 0.4481 | 0.4274,de,2018-01-18 00:00:00,2018-01-20 21:25:45,2018,1,January,Q1,2018-01
373cbeecea8286a2b66c97b1b157ec46,583174fbe37d3d5f0d6661be3aad1786,1,Não chegou meu produto ,Péssimo,7,Short (<30 chars),positive,0.4931,0.4931,0.303,0.2039,0.1901,Misaligned,péssimo,0.9878,péssimo,2018-08-15 00:00:00,2018-08-15 04:10:37,2018,8,August,Q3,2018-08
d21bbc789670eab777d27372ab9094cc,4fc44d78867142c627497b60a7e0228a,5,Ótimo,Loja nota 10,12,Short (<30 chars),positive,0.5331,0.5331,0.2175,0.2495,0.3156,Aligned,nota 10 | 10 | loja nota,0.9766 | 0.8252 | 0.6929,nota 10,2018-07-10 00:00:00,2018-07-11 14:10:25,2018,7,July,Q3,2018-07
0e0190b9db53b689b285d3f3916f8441,79832b7cb59ac6f887088ffd686e1d5e,5,,obrigado pela atençao amim dispensada,37,Medium (30-100),negative,0.585,0.2973,0.585,0.1177,-0.2877,Misaligned,obrigado pela | atençao amim | amim dispensada,0.9074 | 0.7482 | 0.6554,obrigado pela,2017-12-01 00:00:00,2017-12-09 22:58:58,2017,12,December,Q4,2017-12
fe3db7c069d694bab50cc43463f91608,2ca73e2ff9e3a186ad1e1ffb9b1d9c10,5,,"A compra foi realizada facilmente. A entrega foi efetuada muito antes do prazo dado. O produto já começou a ser usado e até o presente, sem problemas.",150,Long (>100 chars),positive,0.7679,0.7679,0.025,0.207,0.7429,Aligned,produto já | facilmente entrega | muito antes,0.512 | 0.4772 | 0.2759,produto já,2018-03-23 00:00:00,2018-04-01 00:27:51,2018,3,March,Q1,2018-03
e07eee7ad7666276bd8b27fbd83fd1ff,68b3cbc68e4cd1fe19bec35f1d3bb7ee,5,,relógio muito bonito e barato.,30,Medium (30-100),positive,0.9864,0.9864,0.002,0.0116,0.9844,Aligned,bonito barato | relógio | muito bonito,0.5487 | 0.4354 | 0.3088,bonito barato,2018-03-29 00:00:00,2018-04-02 14:19:31,2018,3,March,Q1,2018-03
